Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
29124.8, 29128.8, 29126.8, -0.07,  0.20,  0.03,  1.00, -0.04,  0.32,  0.02,  0.05,  1.45,  0.33
29129.6, 29133.6, 29131.6, -0.07,  0.17,  0.09,  0.99, -0.08,  0.47,  0.03, -0.01,  1.26,  0.57
29134.4, 29138.4, 29136.4, -0.02,  0.23,  0.07,  0.16, -0.02,  0.49,  0.00,  0.07,  1.30,  0.71
29139.2, 29143.2, 29141.2,  0.02,  0.05,  0.06,  1.56, -0.08,  0.60, -0.00, -0.01,  1.22,  0.47
29144.0, 29148.0, 29146.0,  0.10,  0.05,  0.04,  0.93,  0.00,  0.16,  0.04,  0.01,  1.63,  0.18
29148.7, 29152.7, 29150.7, -0.01,  0.09,  0.03,  0.44,  0.02,  0.13,  0.07,  0.03,  1.29,  0.27
29153.6, 29157.6, 29155.6,  0.03,  0.29,  0.05, -0.20,  0.06,  0.29,  0.08,  0.02,  1.43,  0.23
29158.3, 29162.3, 29160.3,  0.10,  0.23,  0.08,  1.20, -0.08,  0.30, -0.07, -0.00,  1.49,  0.27
29163.1, 29167.1, 29165.1,  0.00,  0.17,  0.10,  0.20,  0.03,  0.33, -0.01,  0.00,  1.55,  0.30
29167.9, 29171.9, 29169.9,  0.01,  0.16,  0.07,  0.27, -0.02,  0.20, -0.07,  0.02,  1.63,  0.32
29172.7, 29176.7, 29174.7, -0.02,  0.27,  0.07,  0.17, -0.02,  0.28, -0.07, -0.07,  1.38,  0.37
29177.5, 29181.5, 29179.5,  0.06,  0.22,  0.04,  0.57,  0.02,  0.23,  0.14,  0.03,  1.39,  0.24
29182.3, 29186.3, 29184.3, -0.11,  0.14,  0.04,  0.36, -0.00,  0.21, -0.03,  0.01,  1.55,  0.29
29187.2, 29191.2, 29189.2, -0.02,  0.11,  0.01,  0.83, -0.07,  0.33, -0.05,  0.06,  1.45,  0.29
29192.0, 29196.0, 29194.0,  0.07,  0.15,  0.02, -0.08,  0.04,  0.27, -0.06,  0.05,  1.37,  0.37
29196.8, 29200.8, 29198.8, -0.02,  0.17,  0.04,  0.01,  0.03,  0.12, -0.06,  0.02,  1.50,  0.31
29201.5, 29205.5, 29203.5,  0.03,  0.18,  0.02,  1.26, -0.05,  0.35, -0.00,  0.02,  1.40,  0.38
29206.3, 29210.3, 29208.3,  0.03,  0.04,  0.03, -0.18,  0.04,  0.14,  0.08, -0.03,  1.15,  0.22
29211.1, 29215.1, 29213.1, -0.02,  0.11,  0.06, -0.04,  0.08,  0.15,  0.01,  0.05,  1.49,  0.39
29215.8, 29219.8, 29217.8, -0.13,  0.01,  0.02,  0.84, -0.06,  0.21, -0.10,  0.01,  1.34,  0.26
29220.7, 29224.7, 29222.7,  0.12,  0.02,  0.02,  0.57,  0.05,  0.31,  0.09, -0.05,  1.44,  0.35
29225.5, 29229.5, 29227.5, -0.11,  0.25,  0.12,  0.17,  0.05, -0.02, -0.09,  0.05,  1.28,  0.15
29230.3, 29234.3, 29232.3,  0.01,  0.08,  0.04, -0.13,  0.00,  0.22, -0.02,  0.03,  1.31,  0.22
29235.1, 29239.1, 29237.1,  0.01,  0.17,  0.02,  0.72, -0.02,  0.44,  0.11, -0.01,  1.57,  0.34
29239.9, 29243.9, 29241.9,  0.04,  0.21,  0.03,  0.61,  0.01,  0.19, -0.00, -0.02,  1.33,  0.29
29244.6, 29248.6, 29246.6, -0.06,  0.01,  0.04,  0.77,  0.12,  0.18, -0.01,  0.03,  1.33,  0.32
29249.4, 29253.4, 29251.4,  0.03,  0.07,  0.04,  0.75,  0.00,  0.39, -0.10, -0.01,  1.41,  0.41
29254.2, 29258.2, 29256.2,  0.00,  0.13,  0.07,  0.85,  0.01,  0.41, -0.02,  0.01,  1.54,  0.42
29259.0, 29263.0, 29261.0,  0.09,  0.21,  0.07,  0.74, -0.05,  0.42,  0.01, -0.01,  1.29,  0.38
29263.8, 29267.8, 29265.8,  0.08,  0.21,  0.08,  0.16, -0.04,  0.26, -0.02,  0.03,  1.60,  0.22
29268.6, 29272.6, 29270.6,  0.03,  0.12,  0.04,  0.78, -0.01,  0.37,  0.07,  0.03,  1.27,  0.38
29273.4, 29277.4, 29275.4, -0.08, -0.01,  0.04,  0.02, -0.02,  0.04, -0.06,  0.04,  1.65,  0.12
29278.2, 29282.2, 29280.2, -0.00,  0.27,  0.06, -0.07, -0.05,  0.01, -0.05, -0.01,  1.65,  0.04
29282.9, 29286.9, 29284.9, -0.01,  0.15,  0.06,  0.95, -0.03,  0.36,  0.03,  0.03,  1.62,  0.34
29287.7, 29291.7, 29289.7,  0.04,  0.04,  0.03,  0.29,  0.05,  0.19, -0.12,  0.01,  1.56,  0.32
29292.5, 29296.5, 29294.5,  0.02,  0.26,  0.09, -0.38,  0.02,  0.19,  0.03, -0.02,  1.42,  0.28
29297.3, 29301.3, 29299.3,  0.01,  0.09,  0.09,  1.19, -0.02,  0.52,  0.02, -0.04,  1.22,  0.52
29302.1, 29306.1, 29304.1,  0.12,  0.24,  0.05,  0.81,  0.09,  0.32, -0.03,  0.00,  1.63,  0.20
29306.9, 29310.9, 29308.9,  0.10,  0.18,  0.07,  0.76, -0.07,  0.30,  0.10,  0.03,  1.47,  0.35
29311.7, 29315.7, 29313.7, -0.02,  0.33,  0.11,  1.08, -0.03,  0.50,  0.09,  0.02,  1.39,  0.42
29316.5, 29320.5, 29318.5, -0.01,  0.17,  0.09,  0.56,  0.03, -0.03, -0.03,  0.03,  1.37,  0.11
29321.3, 29325.3, 29323.3, -0.07,  0.09,  0.04,  0.49,  0.00,  0.24,  0.05,  0.03,  1.28,  0.17
29326.2, 29330.2, 29328.2, -0.10,  0.16,  0.12, -0.55,  0.01,  0.20,  0.11,  0.06,  1.52,  0.30
29330.9, 29334.9, 29332.9,  0.14,  0.19,  0.11,  0.60,  0.05,  0.30,  0.01, -0.02,  1.24,  0.42
29335.7, 29339.7, 29337.7,  0.07,  0.20,  0.12,  0.19,  0.11,  0.17, -0.02, -0.00,  1.73,  0.25
29340.5, 29344.5, 29342.5, -0.00,  0.48,  0.21,  0.74, -0.04,  0.21,  0.05,  0.00,  1.57,  0.15
29345.3, 29349.3, 29347.3,  0.14,  0.33,  0.17, -0.47,  0.04,  0.17,  0.15, -0.02,  1.50,  0.43
29350.1, 29354.1, 29352.1,  0.02,  0.37,  0.11,  0.89,  0.04,  0.45,  0.06,  0.05,  1.53,  0.40
29354.9, 29358.9, 29356.9, -0.02,  0.40,  0.20,  0.61,  0.03,  0.25, -0.02, -0.02,  1.30,  0.46
29359.7, 29363.7, 29361.7,  0.04,  0.46,  0.16,  0.88, -0.03,  0.32,  0.01,  0.02,  1.52,  0.37
29364.5, 29368.5, 29366.5, -0.05,  0.28,  0.14,  0.04, -0.04,  0.18, -0.00, -0.02,  1.85,  0.19
29369.3, 29373.3, 29371.3, -0.02,  0.52,  0.08,  0.56,  0.01,  0.28,  0.12, -0.02,  1.54,  0.16
29374.0, 29378.0, 29376.0,  0.34,  0.25,  0.14,  2.84,  0.04,  1.26,  0.04,  0.02,  1.30,  0.73
29378.9, 29382.9, 29380.9, -0.02,  0.25,  0.16,  2.15,  0.01,  0.55,  0.07,  0.02,  1.24,  0.41
29383.6, 29387.6, 29385.6,  0.07,  0.20,  0.10,  1.30, -0.00,  0.60,  0.02,  0.02,  1.15,  0.53
29388.4, 29392.4, 29390.4, -0.03,  0.41,  0.14,  0.57,  0.05,  0.19,  0.02,  0.03,  1.29,  0.25
29393.1, 29397.1, 29395.1,  0.12,  0.28,  0.12,  0.64,  0.00,  0.50, -0.12, -0.01,  1.35,  0.52
29398.0, 29402.0, 29400.0,  0.14,  0.39,  0.16,  1.38,  0.01,  0.54, -0.03, -0.05,  1.35,  0.59
29402.7, 29406.7, 29404.7,  0.14,  0.40,  0.11,  1.72, -0.05,  0.75,  0.03,  0.03,  1.35,  0.72
29407.5, 29411.5, 29409.5,  0.21,  0.29,  0.19,  1.30,  0.05,  0.58, -0.02,  0.00,  1.18,  0.42
29412.4, 29416.4, 29414.4,  0.09,  0.47,  0.15,  1.08,  0.04,  0.37,  0.04, -0.02,  1.42,  0.38
29417.1, 29421.1, 29419.1,  0.37,  0.54,  0.21,  2.61, -0.04,  0.99,  0.12, -0.05,  1.20,  0.65
29421.9, 29425.9, 29423.9,  0.46,  0.76,  0.33,  1.62,  0.02,  1.07, -0.05, -0.02,  1.03,  0.78
29426.7, 29430.7, 29428.7,  0.22,  0.33,  0.19,  2.04, -0.07,  0.70,  0.03,  0.03,  1.29,  0.49
29431.5, 29435.5, 29433.5,  0.32,  0.77,  0.30,  3.92,  0.01,  1.34, -0.11,  0.02,  1.36,  0.65
29436.3, 29440.3, 29438.3,  0.49,  0.82,  0.46,  2.83, -0.07,  1.13,  0.12, -0.00,  1.16,  0.70
29441.1, 29445.1, 29443.1,  0.67,  0.67,  0.42,  4.11, -0.00,  1.36, -0.05,  0.01,  1.30,  0.71
29445.9, 29449.9, 29447.9,  0.67,  0.98,  0.58,  4.08, -0.04,  1.68,  0.01,  0.04,  1.20,  0.77
29450.7, 29454.7, 29452.7,  0.85,  0.94,  0.58,  5.90, -0.00,  2.07, -0.01, -0.03,  1.28,  0.79
29455.5, 29459.5, 29457.5,  0.93,  0.97,  0.70,  5.86,  0.05,  2.16,  0.07,  0.05,  1.13,  0.80
29460.2, 29464.2, 29462.2,  1.53,  1.12,  1.02,  9.12,  0.05,  2.84,  0.01,  0.09,  1.15,  0.80
29465.1, 29469.1, 29467.1,  2.22,  1.39,  1.20, 10.54,  0.02,  3.32, -0.07,  0.08,  1.18,  0.84
29469.9, 29473.9, 29471.9,  2.19,  1.50,  1.29, 10.31,  0.11,  3.57,  0.11,  0.09,  1.10,  0.95
29474.6, 29478.6, 29476.6,  2.45,  1.86,  1.51, 11.86,  0.02,  3.90,  0.11,  0.04,  1.13,  0.91
29479.5, 29483.5, 29481.5,  2.48,  1.73,  1.43, 12.74,  0.02,  4.16,  0.16,  0.09,  1.16,  0.89
29484.2, 29488.2, 29486.2,  2.81,  2.00,  1.57, 12.94,  0.11,  4.22, -0.09,  0.06,  1.21,  0.87
29489.0, 29493.0, 29491.0,  2.80,  2.05,  1.67, 14.18,  0.04,  4.64,  0.02,  0.09,  1.18,  0.85
29493.8, 29497.8, 29495.8,  2.71,  1.74,  1.62, 13.91,  0.03,  4.39,  0.09,  0.10,  1.20,  0.85
29498.6, 29502.6, 29500.6,  2.80,  1.79,  1.63, 13.81,  0.07,  4.70,  0.17,  0.09,  1.13,  0.93
29503.4, 29507.4, 29505.4,  2.64,  1.92,  1.62, 12.69,  0.05,  4.49,  0.15,  0.08,  1.10,  1.00
29508.2, 29512.2, 29510.2,  2.71,  2.35,  1.73, 13.83,  0.06,  4.60,  0.26,  0.08,  1.15,  0.90
29513.0, 29517.0, 29515.0,  2.39,  1.92,  1.47, 12.61,  0.03,  4.44,  0.11,  0.09,  1.17,  0.91
29517.8, 29521.8, 29519.8,  2.33,  2.36,  1.65, 12.90,  0.11,  4.31,  0.13,  0.09,  1.12,  0.86
29522.6, 29526.6, 29524.6,  2.79,  2.23,  1.75, 13.45,  0.08,  4.35,  0.09,  0.09,  1.14,  0.87
29527.4, 29531.4, 29529.4,  2.53,  2.19,  1.64, 13.13,  0.03,  4.34,  0.16,  0.07,  1.14,  0.94
29532.2, 29536.2, 29534.2,  2.70,  1.88,  1.56, 13.30,  0.09,  4.58,  0.27,  0.11,  1.13,  0.98
29537.1, 29541.1, 29539.1,  2.62,  1.96,  1.61, 13.77,  0.02,  4.82,  0.16,  0.11,  1.10,  0.95
29541.9, 29545.9, 29543.9,  2.48,  1.99,  1.59, 12.58,  0.05,  4.33,  0.18,  0.06,  1.13,  0.87
29546.7, 29550.7, 29548.7,  2.55,  2.01,  1.54, 13.28,  0.12,  4.57,  0.01,  0.04,  1.13,  0.90
29551.5, 29555.5, 29553.5,  2.46,  1.76,  1.54, 13.33,  0.04,  4.57,  0.08,  0.07,  1.12,  0.93
29556.2, 29560.2, 29558.2,  2.53,  1.82,  1.38, 12.28,  0.14,  4.09,  0.15,  0.03,  1.13,  0.90
29561.0, 29565.0, 29563.0,  2.05,  1.73,  1.23, 12.72,  0.06,  4.21,  0.03,  0.03,  1.19,  0.83
29565.8, 29569.8, 29567.8,  1.55,  1.06,  0.95,  9.71,  0.05,  3.16,  0.17,  0.16,  1.16,  0.88
29570.6, 29574.6, 29572.6,  1.52,  1.28,  1.02,  9.69,  0.01,  3.31,  0.06,  0.09,  1.06,  0.91
29575.3, 29579.3, 29577.3,  1.15,  1.19,  0.84,  8.41,  0.11,  2.69,  0.06,  0.05,  1.18,  0.83
29580.1, 29584.1, 29582.1,  0.93,  0.97,  0.57,  6.60,  0.05,  2.19,  0.08, -0.01,  1.18,  0.79
29584.9, 29588.9, 29586.9,  0.92,  1.05,  0.66,  7.42,  0.04,  2.30,  0.04,  0.10,  1.28,  0.75
29589.7, 29593.7, 29591.7,  0.81,  0.87,  0.63,  6.02,  0.04,  2.09,  0.05,  0.02,  1.17,  0.81
29594.5, 29598.5, 29596.5,  0.87,  0.84,  0.57,  6.42,  0.00,  2.02,  0.14,  0.08,  1.24,  0.75
29599.3, 29603.3, 29601.3,  0.69,  0.73,  0.54,  6.34,  0.06,  2.13,  0.14,  0.05,  1.14,  0.78
29604.1, 29608.1, 29606.1,  0.66,  0.70,  0.46,  5.51, -0.03,  1.88, -0.04,  0.05,  1.16,  0.81
29608.9, 29612.9, 29610.9,  0.82,  0.93,  0.51,  6.45, -0.01,  2.07,  0.11,  0.07,  1.22,  0.74
29613.7, 29617.7, 29615.7,  0.81,  0.77,  0.66,  8.13,  0.08,  2.63, -0.08,  0.04,  1.11,  0.85
29618.5, 29622.5, 29620.5,  1.11,  0.86,  0.64,  8.43,  0.01,  2.55,  0.01,  0.07,  1.17,  0.75
29623.3, 29627.3, 29625.3,  1.59,  0.91,  0.85, 11.03,  0.05,  3.60,  0.10,  0.01,  1.17,  0.86
29628.1, 29632.1, 29630.1,  1.90,  1.05,  1.08, 11.37,  0.09,  3.63,  0.17,  0.04,  1.21,  0.83
29632.8, 29636.8, 29634.8,  2.05,  1.36,  1.14, 12.62,  0.06,  3.94,  0.21,  0.07,  1.20,  0.79
29637.6, 29641.6, 29639.6,  2.01,  1.08,  1.12, 13.01, -0.02,  4.17,  0.24,  0.10,  1.22,  0.84
