Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28934.370, 28935.315, 28934.842, -9999.00,-9999.00,-9999.00
28935.334, 28936.281, 28935.807, -9999.00,-9999.00,-9999.00
28936.281, 28937.228, 28936.754, -9999.00,-9999.00,-9999.00
28937.228, 28938.179, 28937.704, -9999.00,-9999.00,-9999.00
28938.179, 28939.125, 28938.652, -9999.00,-9999.00,-9999.00
28939.125, 28940.072, 28939.598, -9999.00,-9999.00,-9999.00
28940.083, 28941.030, 28940.557, -9999.00,-9999.00,-9999.00
28941.034, 28941.985, 28941.510, -9999.00,-9999.00,-9999.00
28941.985, 28942.931, 28942.458, -9999.00,-9999.00,-9999.00
28942.931, 28943.878, 28943.404, -9999.00,-9999.00,-9999.00
28943.878, 28944.824, 28944.351, -9999.00,-9999.00,-9999.00
28944.824, 28945.776, 28945.300, -9999.00,-9999.00,-9999.00
28945.785, 28946.731, 28946.258, -9999.00,-9999.00,-9999.00
28946.742, 28947.689, 28947.215, -9999.00,-9999.00,-9999.00
28947.689, 28948.635, 28948.162, -9999.00,-9999.00,-9999.00
28948.635, 28949.587, 28949.111, -9999.00,-9999.00,-9999.00
28949.587, 28950.533, 28950.060, -9999.00,-9999.00,-9999.00
28950.533, 28951.480, 28951.006, -9999.00,-9999.00,-9999.00
28951.482, 28952.436, 28951.959, -9999.00,-9999.00,-9999.00
28952.453, 28953.398, 28952.926, -9999.00,-9999.00,-9999.00
28953.398, 28954.343, 28953.870, -9999.00,-9999.00,-9999.00
28954.343, 28955.290, 28954.816, -9999.00,-9999.00,-9999.00
28955.290, 28956.236, 28955.763, -9999.00,-9999.00,-9999.00
28956.236, 28957.182, 28956.709, -9999.00,-9999.00,-9999.00
28957.194, 28958.140, 28957.667, -9999.00,-9999.00,-9999.00
28958.143, 28959.091, 28958.617, -9999.00,-9999.00,-9999.00
28959.091, 28960.043, 28959.567, -9999.00,-9999.00,-9999.00
28960.043, 28960.988, 28960.515, -9999.00,-9999.00,-9999.00
28960.988, 28961.935, 28961.461, -9999.00,-9999.00,-9999.00
28961.935, 28962.881, 28962.408, -9999.00,-9999.00,-9999.00
28962.891, 28963.836, 28963.364, -9999.00,-9999.00,-9999.00
28963.846, 28964.792, 28964.319, -9999.00,-9999.00,-9999.00
28964.792, 28965.739, 28965.265, -9999.00,-9999.00,-9999.00
28965.739, 28966.685, 28966.212, -9999.00,-9999.00,-9999.00
28966.685, 28967.630, 28967.157, -9999.00,-9999.00,-9999.00
28967.630, 28968.576, 28968.103, -9999.00,-9999.00,-9999.00
