Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
40154.0,-14.793016199999999,5.0,4869.6,0.018000000000000002,72.57,40154.0,,,,0.0
40155.0,-14.794375899999999,5.0,4870.0,0.018000000000000002,71.5,40155.0,,,,0.0
40156.0,-14.795717199999999,5.0,4869.8,0.019,70.47,40156.0,,,,0.0
40157.0,-14.7970138,5.0,4872.0,0.019,70.91,40157.0,,,-0.22,0.0
40158.0,-14.798368599999998,5.0,4872.2,0.019,68.1,40158.0,,,,0.0
40159.0,-14.799739800000001,5.0,4869.5,0.018000000000000002,70.52,40159.0,,,,0.0
40160.0,-14.8011109,5.0,4871.2,0.018000000000000002,70.16,40160.0,,,,0.0
40161.0,-14.802463500000002,5.0,4869.0,0.018000000000000002,68.66,40162.0,,,,0.0
40162.0,-14.803831200000001,5.0,4870.2,0.018000000000000002,70.8,40163.0,,,-0.19,0.0
40163.0,-14.8051878,5.0,4869.7,0.018000000000000002,70.65,40164.0,,,,0.0
40164.0,-14.8070448,5.0,4869.4,0.018000000000000002,72.02,40165.0,,,,0.0
40180.0,-14.830978400000001,5.0001,4867.7,5.894,69.38,40181.0,,,,0.0
40181.0,-14.8324878,5.0001,4867.1,5.894,67.51,40182.0,,,0.16,0.0
40182.0,-14.8335089,5.0001,4868.2,0.276,67.4,40183.0,,,,0.0
40183.0,-14.8355356,5.0000436,4869.1,0.021,68.1,40184.0,,,,0.0
40184.0,-14.8375068,5.0,4868.5,0.021,71.17,40185.0,,,,0.0
40185.0,-14.8388663,5.0,4866.7,0.02,70.01,40186.0,,,,0.0
40186.0,-14.8402082,5.0,4866.7,0.019,70.26,40187.0,,,0.14,0.0
40187.0,-14.8415041,5.0,4869.1,0.019,69.65,40188.0,,,,0.0
40188.0,-14.8428577,5.0,4867.8,0.019,68.07,40188.0,,,,0.0
40189.0,-14.8442269,5.0,4869.2,0.019,70.52,40189.0,,,,0.0
40190.0,-14.845506599999998,5.0,4869.5,0.019,69.88,40190.0,,,,0.0
40191.0,-14.8468538,5.0,4868.2,0.018000000000000002,68.0,40191.0,,,0.16,0.0
40192.0,-14.848146799999999,5.0,4869.1,0.019,68.71,40192.0,,,,0.0
40193.0,-14.8494784,5.0,4867.3,0.019,69.78,40193.0,0.0,,,0.0
40194.0,-14.851627599999999,5.0,4867.8,0.019,70.83,40194.0,0.0,,,0.0
40195.0,-14.853613000000001,5.0,4868.0,0.019,70.07,40195.0,0.0,,,0.0
40196.0,-14.854937300000001,5.0,4867.0,0.019,70.92,40196.0,0.0,,0.03,0.0
40197.0,-14.8562044,5.0,4867.1,0.018000000000000002,69.56,40197.0,0.0,,,0.0
