Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,CDP_LWC
40121.0,-12.500831199999999,4.9999,5483.5,0.013000000000000001,77.9,40121.0,,,0.0
40122.0,-12.5021361,4.9999,5482.2,0.013000000000000001,78.84,40122.0,,,0.0
40123.0,-12.5034804,4.9999,5483.6,0.013000000000000001,78.59,40124.0,,,0.0
40124.0,-12.505014599999999,4.9999,5485.5,0.013000000000000001,80.2,40125.0,,,0.0
40125.0,-12.507420300000001,4.9999,5484.1,0.013000000000000001,77.81,40126.0,,,0.0
40126.0,-12.5087,4.9999,5481.8,0.013000000000000001,81.28,40127.0,,,0.0
40127.0,-12.5100526,4.9999,5484.0,0.013999999999999999,78.29,40128.0,,,0.0
40128.0,-12.5113402,4.9999,5482.0,0.013000000000000001,77.59,40129.0,,,0.0
40129.0,-12.5126209,4.9999,5483.3,0.013000000000000001,77.37,40130.0,,,0.0
40130.0,-12.5138879,4.9999,5483.8,0.013000000000000001,76.39,40131.0,,,0.0
40131.0,-12.5151601,4.9999,5484.5,0.013000000000000001,79.05,40131.0,,,0.0
40132.0,-12.5164862,4.9999,5484.1,0.013000000000000001,78.83,40132.0,,,0.0
40133.0,-12.5178133,4.9999,5482.9,0.013000000000000001,78.24,40133.0,,,0.0
40134.0,-12.5190804,4.9999,5483.0,0.012,78.98,40134.0,,,0.0
40135.0,-12.5206146,4.9999,5483.3,0.013000000000000001,80.2,40135.0,,,0.0
40136.0,-12.5230289,4.9999,5484.5,0.013000000000000001,78.46,40136.0,,,0.0
40137.0,-12.5244,4.9999,5484.3,0.013000000000000001,79.62,40137.0,,,0.0
40138.0,-12.525662400000002,4.9999902,5482.3,0.013000000000000001,78.33,40138.0,,,0.0
40139.0,-12.526940199999999,5.0,5483.6,0.012,79.13,40139.0,,,0.0
40140.0,-12.5282209,5.0,5483.7,0.013000000000000001,78.72999999999999,40140.0,,,0.0
40141.0,-12.5294879,5.0,5484.4,0.013000000000000001,78.72,40142.0,,,0.0
40142.0,-12.5308144,5.0,5484.0,0.013999999999999999,78.22,40143.0,,,0.0
40143.0,-12.532131199999998,5.0,5484.0,0.013999999999999999,78.68,40144.0,,,0.0
40144.0,-12.5334004,5.0,5485.0,0.013000000000000001,80.47,40145.0,,,0.0
40145.0,-12.534680400000001,5.0,5484.7,0.013000000000000001,79.08,40146.0,,,0.0
40146.0,-12.536233,5.0,5483.4,0.013999999999999999,79.12,40147.0,,,0.0
40147.0,-12.538720300000001,5.0,5483.7,0.013000000000000001,77.96,40148.0,,,0.0
40148.0,-12.54,5.0,5484.3,0.013000000000000001,79.01,40148.0,,,0.0
40149.0,-12.5412624,5.0,5484.3,0.013000000000000001,77.94,40149.0,,,0.0
40150.0,-12.5425402,5.0,5484.5,0.013000000000000001,77.1,40150.0,,,0.0
40151.0,-12.5438209,5.0,5482.8,0.013000000000000001,79.39,40151.0,,,0.0
40152.0,-12.545151400000002,5.0,5482.7,0.013000000000000001,80.5,40152.0,,,0.0
40153.0,-12.5464601,5.0,5482.4,0.013000000000000001,79.08,40153.0,,,0.0
40154.0,-12.5477312,5.0,5483.2,0.013000000000000001,78.42,40154.0,,,0.0
40155.0,-12.5490004,5.0,5484.3,0.013000000000000001,80.61,40155.0,,,0.0
40156.0,-12.5502804,5.0,5482.9,0.013000000000000001,77.91,40156.0,,,0.0
40157.0,-12.551833,5.0,5482.1,0.013000000000000001,76.285,40157.0,,,0.0
40158.0,-12.5543203,5.0,5483.0,0.013000000000000001,78.9,40159.0,,,0.0
40159.0,-12.5556,5.0,5482.4,0.013000000000000001,77.05,40160.0,,,0.0
40160.0,-12.556880900000001,5.0,5484.7,0.013000000000000001,79.75,40161.0,,,0.0
40161.0,-12.558144,5.0,5483.9,0.013000000000000001,77.69,40162.0,,,0.0
40162.0,-12.5594938,5.0,5482.5,0.013000000000000001,76.86,40163.0,,,0.0
40163.0,-12.5607879,5.0,5483.5,0.013000000000000001,79.7,40164.0,,,0.0
40164.0,-12.5620601,5.0000542999999995,5485.1,0.012,78.58,40165.0,,,0.0
40165.0,-12.563340400000001,5.0001,5484.3,0.012,78.97,40166.0,,,0.0
40166.0,-12.5646133,5.0001,5482.3,0.013000000000000001,78.41,40166.0,,,0.0
40167.0,-12.565907600000001,5.0001,5482.2,0.013000000000000001,79.22,40167.0,,,0.0
40168.0,-12.567514599999999,5.0001,5482.7,0.012,78.65,40168.0,,,0.0
40169.0,-12.569920300000001,5.0001,5483.7,0.013000000000000001,77.38,40169.0,,,0.0
40170.0,-12.5712,5.0001,5484.3,0.013000000000000001,79.0,40170.0,,,0.0
40171.0,-12.5724809,5.0001,5483.2,0.013000000000000001,78.84,40171.0,,,0.0
40172.0,-12.5738257,5.0001,5484.5,0.013000000000000001,77.98,40172.0,,,0.0
40173.0,-12.5751209,5.0001,5486.0,0.013000000000000001,79.19,40173.0,,,0.0
40174.0,-12.5763879,5.0001,5484.3,0.013000000000000001,79.74,40174.0,,,0.0
40175.0,-12.5776601,5.0001,5483.4,0.013000000000000001,78.525,40175.0,,,0.0
